itemId,title,condition,conditionId,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,topRatedBuyingExperience,priorityListing,itemLocation.country,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,model_number,additional_image_count,title_length,discount_flag,condition_desc,specific_carrier,unlocked,cluster,price_tier
v1|356605678205|625572140283,Apple iPhone 16 128GB Unlocked Very Good Condition,Very Good - Refurbished,2020,687.5,USD,directauth,97.7,23260,True,True,US,732.99,6.0,0.0,142,9355,Cell Phones & Smartphones,24,16.0,0,50,True,2020 - Very Good - Refurbished,no_carrier,True,1,high
v1|146686958770|0,Apple iPhone 16 Plus A3082 - AT&T Only - 128GB Ultramarine - A GRADE,Used,3000,567.99,USD,teeerashop,98.8,6810,True,True,US,,,0.0,14,9355,Cell Phones & Smartphones,5,16.0,3,68,False,3000 - Used,AT&T,False,0,medium
v1|296819057702|594602532243,Apple iPhone 16 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,2020,677.95,USD,supplytronics,98.3,115563,True,True,US,,,0.0,244,9355,Cell Phones & Smartphones,45,16.0,1,80,False,2020 - Very Good - Refurbished,no_carrier,True,1,high
v1|355095070816|624350343870,Apple iPhone 14 128GB Network Unlocked Very Good Condition,Very Good - Refurbished,2020,326.46,USD,directauth,97.7,23260,True,False,US,699.0,53.0,0.0,646,9355,Cell Phones & Smartphones,24,14.0,0,58,True,2020 - Very Good - Refurbished,no_carrier,True,2,low
v1|356036252976|625079333117,Apple iPhone 15 A2846 128GB Unlocked Excellent Condition,Excellent - Refurbished,2010,479.29,USD,directauth,97.7,23260,True,False,US,629.97,24.0,0.0,308,9355,Cell Phones & Smartphones,24,15.0,0,56,True,2010 - Excellent - Refurbished,no_carrier,True,0,medium
v1|355896538160|624955594339,Apple iPhone 14 Pro Max 256GB Unlocked Very Good Condition,Very Good - Refurbished,2020,583.16,USD,directauth,97.7,23260,True,False,US,1199.0,51.0,0.0,357,9355,Cell Phones & Smartphones,24,14.0,0,58,True,2020 - Very Good - Refurbished,no_carrier,True,0,medium
v1|267251710138|567037639498,✔️NEW! Apple iPhone 16E (2025)  Factory 🔓 Unlocked 128/256GB - 100% 🔋 Battery,Open box,1500,619.0,USD,beltronusa,99.4,21780,True,False,US,,,0.0,62,9355,Cell Phones & Smartphones,3,16.0,8,77,False,1500 - Open box,no_carrier,True,0,medium
v1|405613175344|675914392357,Apple iPhone 16 128GB Unlocked - Excellent,Excellent - Refurbished,2010,648.99,USD,bidallies,98.0,353823,True,False,US,799.0,19.0,0.0,133,9355,Cell Phones & Smartphones,14,16.0,0,42,True,2010 - Excellent - Refurbished,no_carrier,True,0,medium
v1|305910464525|605156912553,Apple iPhone 16 Plus 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,2010,667.95,USD,supplytronics,98.3,115563,True,False,US,,,0.0,244,9355,Cell Phones & Smartphones,45,16.0,1,77,False,2010 - Excellent - Refurbished,no_carrier,True,1,high
v1|186920017109|694982756866,Apple iPhone 16 Plus 512GB ( Unlocked) US E-Sim Version. Excellent,Excellent - Refurbished,2010,783.99,USD,amazing-wireless,99.7,147826,True,False,US,,,0.0,168,9355,Cell Phones & Smartphones,1,16.0,4,66,False,2010 - Excellent - Refurbished,no_carrier,True,1,high
