position,title,asin,is_prime,rating,ratings_total,sponsored,coupon,lego_theme,age_rec,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,top_theme,discount$,discount%
1,LEGO Bluey: Bluey’s Family House - Toddler Toy for 4 Year Old Boys and Girls - House Playset Includes Bluey and 5 Popular Characters - Great Birthday Gift Idea for Preschoolers - 11203,B0DRW8L7HY,False,4.7,51.0,True,,Bluey,None,2000.0,69.99,,,None,False,True,0.0,0.0
2,"LEGO ǀ Disney Princess Beauty and The Beast Castle Building Set - Room Decor for Women and Men, Ages 18+ - Model Building Kit for Adults - Book Shelf Display - DIY Gift Idea - 43263",B0DRW654DB,False,5.0,2.0,True,,Disney,18.0,,279.99,,,None,False,True,0.0,0.0
3,"LEGO Star Wars: The Phantom Menace Battle Droid with STAP - Building & Learning Toy for Boys & Girls, Ages 12+ - Star Wars Toy & Model Kit - Gift Idea for Kids - 75428",B0DRW6VY43,False,4.2,11.0,True,,Star Wars,12.0,700.0,139.99,,,None,False,True,0.0,0.0
4,"LEGO Harry Potter Book Nook: Hogwarts Express - Kids Toy - DIY Kit and Pretend Play Building Set for Boys and Girls, 10+ - Includes Collectible Harry and Ron Minifigures - Birthday Gift Idea - 76450",B0DRW7WRX3,False,4.8,26.0,True,,Harry Potter,None,1000.0,99.99,,,None,False,True,0.0,0.0
5,"LEGO Icons Boutique Hotel Model Kits - Bedroom or Office Decor for Men & Women, Ages 18+ - Building Blocks for Adults for Display - Gift Idea - 10297",B09JKXSQWG,False,4.8,441.0,False,,Other,18.0,10000.0,213.96,229.99,Primary,None,False,False,16.03,0.07
6,"LEGO Classic Large Creative Brick Box 10698 Building Toy Set, Toy Storage Solution for Home or Classrooms, Interactive Building Toy for Kids, Boys, and Girls",B00NHQF6MG,False,4.8,29574.0,False,,Classic,None,20000.0,25.59,59.99,Primary,None,False,True,34.4,0.57
7,"(2 Packs) Wall Mounts for LEGO 10327 Icons Dune Atreides Royal Ornithopter, 10300 Time Machine, for Helmet, Head, Mask sets, Plane Building Block kits etc. Adjustable angle brackets, wall mounts only.",B0F3X885RJ,False,4.7,11.0,False,"{'badge_text': 'Save 15%', 'text': 'with coupon'}",Other,None,,33.98,,,None,True,False,0.0,0.0
8,"LEGO Harry Potter Hogwarts Castle and Grounds 76419 Building Set, Gift Idea for Adults, Buildable Display Model, Collectible Harry Potter Playset, Recreate Iconic Scenes from The Wizarding World",B0BXQ6NRRN,False,4.8,1627.0,False,,Harry Potter,None,2000.0,144.99,169.99,Primary,None,False,True,25.0,0.15
9,"LEGO Architecture New York City Model Kit - Bedroom or Office Decor for Kids & Adults, Ages 12+ - Building Blocks to Display - NYC Gift & Souvenir Ideas - 21028",B017B19DOY,False,4.8,7485.0,False,,Architecture,12.0,6000.0,35.99,59.99,Primary,None,False,True,24.0,0.4
10,"LEGO Speed Champions Oracle Red Bull Racing RB20 F1 Race Car Model Kits - Building Set for Adults, Ages 18+ with Realistic Features - Red Bull F1 DIY Crafts for Display - Gift Idea for F1 Fans - 77243",B0DHLFGNMM,False,4.9,508.0,False,,Speed Champions,18.0,5000.0,25.64,26.99,Primary,None,False,True,1.35,0.05
11,"LEGO Super Mario Piranha Plant, Build and Display Super Mario Brothers Collectible for Adults and Teens, Authentically Detailed Posable Figure, Birthday Gift for Gamers and Super Mario Fans, 71426",B0BXQ3M8JH,False,4.9,1762.0,False,,Other,None,3000.0,47.99,59.99,Primary,None,False,False,12.0,0.2
