position,title,asin,is_prime,rating,ratings_total,sponsored,is_small_business,coupon,cu_ft,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,discount$,discount%,commercial,cluster,price_tier
1,"Chefman Countertop Microwave Oven 0.7 Cu. Ft., 700 Watts with 10 Power Levels, 6 Cooking Presets with One-Touch Express Cook, Eco Mode, Child Safety Lock, & Mute Button - Black",B0DY95T5HB,False,4.3,1396.0,True,False,,0.7,9000.0,64.99,99.99,Limited time deal,,False,35.0,0.35,False,1,low
2,"Farberware Countertop Microwave 1000 Watts, 1.1 cu ft - Microwave Oven With LED Lighting and Child Lock - Perfect for Apartments and Dorms - Easy Clean Stainless Steel",B01EIZSF6I,False,4.4,23609.0,True,False,,1.1,4000.0,119.99,129.99,Primary,,False,10.0,0.08,False,1,low
3,"TOSHIBA EM131A5C-BS Countertop Microwave Ovens 1.2 Cu Ft, 12.4"" Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior Black Color 1000W",B071WCB1T6,False,4.4,54371.0,False,False,,1.2,10000.0,149.99,,,,False,0.0,0.0,False,1,low
7,"BLACK+DECKER EM044KB19 Over The Range Microwave Oven with One Touch, 1000 Watts, 400 CFM and Auto Cooking, OTR 1.9 Cu.ft",B09SB8MK37,True,4.4,11371.0,True,False,,1.9,400.0,342.99,,,,False,0.0,0.0,False,0,high
8,"TOSHIBA Inverter Countertop Microwave Oven Air Fryer Combo MASTER Series, Broil, Convection, Speedy Combi, Even Defrost 11.3'' Turntable Sound On/Off, 27 Auto Menu&47 Recipes",B09HKM5SVD,False,4.0,1868.0,True,False,,unknown,800.0,249.99,299.99,Primary,,False,50.0,0.17,False,2,medium
9,"Sharp R-21LCFS Medium-Duty Commercial Microwave (Dial Timer, 1000-Watts, 120-Volts)",B00BDF5ZNS,True,4.5,394.0,True,False,,unknown,100.0,300.0,,,,False,0.0,0.0,True,0,high
10,"BLACK+DECKER EM720CB7 Digital Microwave Oven with Turntable Push-Button Door, Child Safety Lock, 700W, Stainless Steel, 0.7 Cu.ft",B07HGH1KG6,False,4.3,19910.0,False,False,,0.7,10000.0,89.99,,,,False,0.0,0.0,False,1,low
11,"IRONCK Bakers Rack with Storage Cabinet, Microwave Stand Power Outlets, Kitchen Bakers Rack with Shelves, Coffee Bar, 8 Hooks, Rustic Brown",B0FGHP5HZS,False,0.0,0.0,True,False,"{'badge_text': 'Save $10.00', 'text': 'with coupon'}",unknown,,119.99,139.99,Primary,,True,20.0,0.14,False,1,low
12,"COMFEE EM720CPL-PMB Countertop Microwave Oven with Sound On/Off, ECO Mode and Easy One-Touch Buttons, 0.7 Cu Ft, Black",B07GV36BLD,False,4.4,22672.0,False,False,,0.7,10000.0,80.0,,,,False,0.0,0.0,False,1,low
13,"TOSHIBA ML-EM09PA(BS) Small Microwave Oven with 6 Auto Menus, Mute Function & Child Lock, LED Lighting, Perfect for Apartment, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W, Black Stainless Steel",B0DPQPGC75,False,4.5,32638.0,False,False,,0.9,7000.0,110.08,117.99,Primary,,False,7.91,0.07,False,1,low
15,"BLACK+DECKER Digital Microwave Oven with Turntable Push-Button Door, Child Safety Lock, Stainless Steel, 0.9 Cu Ft",B07HG9YGZY,False,4.4,11371.0,False,False,,0.9,3000.0,99.99,106.99,Primary,,False,7.0,0.07,False,1,low
16,"BLACK+DECKER Countertop Microwave Oven 0.9 Cu Ft, 6 Auto Menus, Child Lock, Memory Function, 10 Power Levels, Easy One-Touch Start, Digital Panel, 900W",B0DHWWQ77M,False,4.4,224.0,True,False,,0.9,1000.0,119.99,,,,False,0.0,0.0,False,1,low
17,"Farberware Countertop Microwave 700 Watts, 0.7 Cu. Ft. - Microwave Oven With LED Lighting and Child Lock - Perfect for Apartments and Dorms - Easy Clean Grey Interior, Retro Black",B01EIZSDWO,False,4.3,7670.0,False,False,,0.7,2000.0,79.99,84.99,Primary,,False,5.0,0.06,False,1,low
18,"Nostalgia NRMO7YW6A Retro Compact Countertop Microwave Oven, 0.7 Cu. Ft. 700-Watts with LED Digital Display, Child Lock, Easy Clean Interior, Yellow",B0CNV1D9L3,False,4.4,12268.0,False,False,,0.7,300.0,99.99,,,,False,0.0,0.0,False,1,low
19,"Galanz GLCMKZ07BER07 Retro Countertop Microwave Oven with Auto Cook & Reheat, Defrost, Quick Start Functions, Easy Clean with Glass Turntable, Pull Handle.7 cu ft, Blue",B09BZ5Z16C,False,4.5,20632.0,False,False,,0.7,400.0,90.75,99.0,Primary,,False,8.25,0.08,False,1,low
20,"Emerson MW7601SL Compact Countertop Microwave Oven with Sleek Mirrored Finish Door 10 Power Levels, 6 Auto Menus, Glass Turntable and Child Safe Lock, 0.7 Cu. Ft, Silver",B0CV6V1JTW,False,4.1,335.0,False,True,,0.7,1000.0,79.73,,,,False,0.0,0.0,False,1,low
21,"Sharp R-CD1800M Commercial Microwave, Silver",B0029SXA4E,False,0.0,0.0,True,False,,unknown,,1425.0,,,Only 3 left in stock - order soon.,False,0.0,0.0,True,0,high
22,"SHARP Countertop Microwave Oven with Removable 10.6"" Carousel Turntable, 900 Watt, 0.9 Cubic Feet, Stainless Steel",B0CNQ9T4XW,False,4.4,164.0,False,False,,0.9,1000.0,99.99,,,,False,0.0,0.0,False,1,low
23,"Nostalgia Retro Microwave Oven 0.7 Cu Ft, 700-Watt Countertop Size with Glass Turntable, Child Safety Lock, 8 Auto-Cook Programs, Digital Clock, Black",B0DV5S55ZS,False,4.4,4798.0,False,False,,0.7,600.0,79.99,89.99,Primary,,False,10.0,0.11,False,1,low
24,"SHARP Countertop Microwave Oven with Removable 12.4"" Carousel Turntable, 1000 Watt, 1.1 Cubic Feet, Black",B0CNQ9LVDZ,False,4.5,380.0,False,False,,1.1,1000.0,129.99,,,,False,0.0,0.0,False,1,low
25,"TOSHIBA ML-EM45P(BS) Countertop Microwave Oven with Smart Sensor and Position Memory Turntable, Function, 1.6 Cu.ft 13.6"" Removable Black Stainless Steel, 1200W",B081T6GZZF,False,4.3,3486.0,False,False,,1.6,1000.0,182.99,,,,False,0.0,0.0,False,2,medium
26,"71"" Pantry Cabinet, Kitchen Pantry Storage Cabinet with Charging Station, Kitchen Hutch with Countertop, Microwave Shelf & 10 Hooks, Door Shelves & Drawer & Adjustable Shelves for Dining Room",B0FG79KS55,False,5.0,2.0,True,False,"{'badge_text': 'Save $40.00', 'text': 'with coupon'}",unknown,,249.99,,,,True,0.0,0.0,False,2,medium
30,"TOSHIBA ML4-EM22PAIT(SS) Countertop Microwave Oven with Sensor Cook, 6 Auto Menus, Origin Inverter, Child Lock, 2.2 Cu Ft for Large Family, 16.5 Inch Removable Turntable, 1200W, Stainless Steel",B0DNMNDVQ5,True,4.2,4578.0,True,False,,2.2,400.0,271.97,,,,False,0.0,0.0,False,2,medium
5,"Countertop Microwave Ovens 0.7 Cu. Ft. 700 Watts Microwave Oven With LED Lighting,Turntable and Child Lock,Compact Microwave Perfect for Apartments and Dorms,Easy Clean Interior, Black",B0F65296JL,False,5.0,1.0,False,False,,0.7,50.0,44.99,,,,False,0.0,0.0,False,1,low
8,"TOSHIBA ML-EM09PA(SS) Small Microwave Oven with 6 Auto Menus, Mute Function & Child Lock, LED Lighting, Perfect for Apartments & Dorms, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W, Stainless Steel",B0DPQQM1SF,True,4.5,32638.0,True,False,,0.9,2000.0,115.44,,,,False,0.0,0.0,False,1,low
9,"Sharp R-21LCFS Medium-Duty Commercial Microwave Oven with Dial Timer, Stainless Steel, 1000-Watts, 120-Volts",B074RCGYLB,True,4.6,563.0,True,False,,unknown,300.0,325.0,,,,False,0.0,0.0,True,0,high
10,"FRIGIDAIRE EMW733BLACKAMZ 0.7 Cu. Ft. Microwave, Black",B00CE2VIKS,False,4.3,1981.0,False,False,,0.7,1000.0,69.98,,,Temporarily out of stock.,False,0.0,0.0,False,1,low
12,"SHARP Compact Countertop Microwave Oven with Removable 10"" Carousel Turntable, 700 Watt, 0.7 Cubic Feet, Stainless Steel",B0CNS5FMPT,False,4.3,109.0,False,False,,0.7,300.0,89.99,,,,False,0.0,0.0,False,1,low
13,"Panasonic Microwave Oven NN-SN686S Stainless Steel Countertop/Built-In with Inverter Technology and Genius Sensor, 1.2 Cubic Foot, 1200W",B01DEWZUG4,False,4.3,11429.0,False,False,,1.2,1000.0,239.99,,,,False,0.0,0.0,False,2,medium
15,"Hestan KMWR30 30 Inch Wide 1.2 Cu. Ft. 950 Watt Built, 30"" Microwave, Stainless",B08W9HCD8G,False,0.0,0.0,True,False,,1.2,,1215.0,1999.0,Primary,,False,784.0,0.39,False,0,high
16,"TOSHIBA ML4-EM09PA(BS) Small Countertop Microwave Oven with 6 Auto Menus, Mute Function, Child Lock, Kitchen Essentials for Dorm, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W, Black Stainless Steel",B0DNMSCLGX,False,4.2,4578.0,True,False,,0.9,1000.0,109.99,116.99,Primary,,False,7.0,0.06,False,1,low
