itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,topRatedBuyingExperience,priorityListing,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year,additional_image_count,title_length,discount_flag,condition_desc,top_club,top_country,Messi
v1|317069403907|615526711901,Liverpool Home Jersey 25/26 ( Player Version),1000,New,45.0,USD,iri4147,97.7,47,US,False,True,,,0.0,11,2887,Soccer-International Clubs,25,Liverpool,,2026.0,4,45,False,1000 - New,True,False,False
v1|177245638563|476899094411,Tigres UANL Away Jersey 2023/24 Size S-XL,1000,New,18.0,USD,soccerelf,100.0,10,US,False,True,,,0.0,15,2887,Soccer-International Clubs,8,,,2024.0,1,41,False,1000 - New,False,False,False
v1|317059278518|615510384436,Real Madrid Baseball Style Jersey Limited Edition,1000,New,52.0,USD,iri4147,97.7,47,US,False,True,,,0.0,14,2887,Soccer-International Clubs,25,Real Madrid,,,6,49,False,1000 - New,True,False,False
v1|388511742986|655644751940,Neymar Jr Santos 2012 Jersey - Retro Jersey - Mens Sizes,1000,New,65.0,USD,shipezusa,97.1,84,US,False,True,,,0.0,130,2887,Soccer-International Clubs,11,,,2012.0,5,56,False,1000 - New,False,False,False
v1|177245711199|476913681054,Paris Player Version Jersey 2025/26 Size M-XXL,1000,New,35.0,USD,soccerelf,100.0,10,US,False,False,,,0.0,15,2887,Soccer-International Clubs,8,,,2026.0,5,46,False,1000 - New,False,False,False
v1|316969126369|615409659627,Barcelona Messi Mens UCL Final 2011 Jersey,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,False,False,,,0.0,111,2887,Soccer-International Clubs,8,Barcelona,,2011.0,6,42,False,1000 - New,True,False,True
v1|167640414316|467255078002,BARCELONA YOUTH JERSEY KIT,1000,New,39.99,USD,jeansandshirtsforever,95.8,1092,US,False,False,,,0.0,9,2887,Soccer-International Clubs,15,Barcelona,,,2,26,False,1000 - New,True,False,False
v1|177244403948|476898369804,Madrid home jersey player version 2024/25 Size S-XL,1000,New,39.0,USD,soccerelf,100.0,10,US,False,False,,,0.0,15,2887,Soccer-International Clubs,8,,,2025.0,3,51,False,1000 - New,False,False,False
v1|317065336496|615520543566,Barcelona 2025/2026 Home,1000,New,45.0,USD,iri4147,97.7,47,US,False,False,,,0.0,12,2887,Soccer-International Clubs,25,Barcelona,,2026.0,4,24,False,1000 - New,True,False,False
v1|177244292867|476898103133,2024/25 Paris home jersey Size M-XXL,1000,New,35.0,USD,soccerelf,100.0,10,US,False,False,,,0.0,15,2887,Soccer-International Clubs,8,,,2025.0,3,36,False,1000 - New,False,False,False
v1|177243786136|0,Pumas Soccer Jersey Size S-XL,1000,New,19.0,USD,soccerelf,100.0,10,US,False,False,,,0.0,16,2887,Soccer-International Clubs,8,,,,2,29,False,1000 - New,False,False,False
v1|388563233919|655674947539,Soccer Jersey 2007/2008 #7 Retro Champions League Final Away Jersey Short Sleeve,1000,New,49.99,USD,jerseyhypex,94.5,49,US,False,False,,,0.0,106,2887,Soccer-International Clubs,4,,,2008.0,3,80,False,1000 - New,False,False,False
v1|406039415533|676351895086,Mexico 2025/26 Black Special Souvenir  Jersey PLAYER VERSION,1000,New,40.99,USD,realgood-31,96.4,52,US,False,False,,,0.0,98,2887,Soccer-International Clubs,3,,Mexico,2026.0,6,60,False,1000 - New,False,True,False
v1|317047672657|615492735968,Chelsea Jersey 2025/26 (World Cup),1000,New,45.0,USD,iri4147,97.7,47,US,False,True,,,0.0,18,2887,Soccer-International Clubs,25,Chelsea,,2026.0,5,34,False,1000 - New,True,False,False
v1|388693146122|655796212176,Diogo Jota Liverpool FC #20 Home Red Player Version PL Soccer Jersey,1000,New,73.99,USD,retvibe,93.8,14,BE,False,True,,,0.0,10,2887,Soccer-International Clubs,1,Liverpool,,,8,68,False,1000 - New,True,False,False
v1|317055694269|615503932223,Pachuca Away Jersey 2025/26 (Player Version),1000,New,45.0,USD,iri4147,97.7,47,US,False,True,,,0.0,16,2887,Soccer-International Clubs,25,,,2026.0,3,44,False,1000 - New,False,False,False
v1|205556489832|0,Juventus 2014/2015 Vintage Jersey Pogba Size L,1000,New,55.0,USD,steph01291978,100.0,484,US,False,False,,,0.0,38,2887,Soccer-International Clubs,8,Juventus,,2015.0,4,46,False,1000 - New,True,False,False
v1|317004328467|615433933254,Cristiano Ronaldo #7 2008 UCL Final Manchester United Nike Long Sleeve Jersey,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,False,False,,,0.0,114,2887,Soccer-International Clubs,8,Manchester United,,2008.0,6,77,False,1000 - New,True,False,False
v1|187390377113|695281635913,Real Madrid 2025/2026 Home Players Match Version Jerseys CLUB WORLD CUP,3000,Used,59.9,USD,evaclothing,100.0,17,US,False,False,,,0.0,15,2887,Soccer-International Clubs,5,Real Madrid,,2026.0,15,71,False,3000 - Used,True,False,False
v1|317069763082|615526873738,Chelsea Away Jersey 2025/26 (World Cup) Player Version,1000,New,45.0,USD,iri4147,97.7,47,US,False,False,,,0.0,11,2887,Soccer-International Clubs,25,Chelsea,,2026.0,5,54,False,1000 - New,True,False,False
v1|396721995055|665214044123,Brazil Jesus Christ The Redeemer Jersey Kit Special Edition Shirt,1000,New,31.99,USD,lonsie_16,94.4,80,US,False,False,,,4.99,41,2891,Soccer-National Teams,6,,Brazil,,4,65,False,1000 - New,False,True,False
v1|177244396823|476913665386,Barcelona home jersey player version 2024/25 Size S-XL,1000,New,39.0,USD,soccerelf,100.0,10,US,False,False,,,0.0,15,2887,Soccer-International Clubs,8,Barcelona,,2025.0,3,54,False,1000 - New,True,False,False
