position,title,asin,is_prime,rating,ratings_total,sponsored,is_small_business,coupon,cu_ft,recent_sales_num,price_value,price_list_price,price_name,stock_info
1,"Chefman Countertop Microwave Oven 0.7 Cu. Ft., 700 Watts with 10 Power Levels, 6 Cooking Presets with One-Touch Express Cook, Eco Mode, Child Safety Lock, & Mute Button - Black",B0DY95T5HB,False,4.3,1396.0,True,,,0.7,9000.0,64.99,$99.99,Limited time deal,
2,"Farberware Countertop Microwave 1000 Watts, 1.1 cu ft - Microwave Oven With LED Lighting and Child Lock - Perfect for Apartments and Dorms - Easy Clean Stainless Steel",B01EIZSF6I,False,4.4,23609.0,True,,,1.1,4000.0,119.99,$129.99,Primary,
3,"TOSHIBA EM131A5C-BS Countertop Microwave Ovens 1.2 Cu Ft, 12.4"" Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior Black Color 1000W",B071WCB1T6,False,4.4,54371.0,,,,1.2,10000.0,149.99,,,
5,"5304522796 Microwave Door Latch Compatible with Brands Electrolux, Frigidaire, Gibson, Kelvinator, Westinghouse,Sears/Kenmore and Others Microwaves,Replace Ap6979662 5304522796",B0F5WPTLZS,False,5.0,1.0,,,,,50.0,19.99,$21.97,Primary,
7,"BLACK+DECKER EM044KB19 Over The Range Microwave Oven with One Touch, 1000 Watts, 400 CFM and Auto Cooking, OTR 1.9 Cu.ft",B09SB8MK37,True,4.4,11371.0,True,,,1.9,400.0,342.99,,,
8,"TOSHIBA Inverter Countertop Microwave Oven Air Fryer Combo MASTER Series, Broil, Convection, Speedy Combi, Even Defrost 11.3'' Turntable Sound On/Off, 27 Auto Menu&47 Recipes",B09HKM5SVD,False,4.0,1868.0,True,,,,800.0,249.99,$299.99,Primary,
9,"Sharp R-21LCFS Medium-Duty Commercial Microwave (Dial Timer, 1000-Watts, 120-Volts)",B00BDF5ZNS,True,4.5,394.0,True,,,,100.0,300.0,,,
10,"BLACK+DECKER EM720CB7 Digital Microwave Oven with Turntable Push-Button Door, Child Safety Lock, 700W, Stainless Steel, 0.7 Cu.ft",B07HGH1KG6,False,4.3,19910.0,,,,0.7,10000.0,89.99,,,
11,"IRONCK Bakers Rack with Storage Cabinet, Microwave Stand Power Outlets, Kitchen Bakers Rack with Shelves, Coffee Bar, 8 Hooks, Rustic Brown",B0FGHP5HZS,False,,,True,,"{'badge_text': 'Save $10.00', 'text': 'with coupon'}",,,119.99,$139.99,Primary,
12,"COMFEE EM720CPL-PMB Countertop Microwave Oven with Sound On/Off, ECO Mode and Easy One-Touch Buttons, 0.7 Cu Ft, Black",B07GV36BLD,False,4.4,22672.0,,,,0.7,10000.0,80.0,,,
13,"TOSHIBA ML-EM09PA(BS) Small Microwave Oven with 6 Auto Menus, Mute Function & Child Lock, LED Lighting, Perfect for Apartment, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W, Black Stainless Steel",B0DPQPGC75,False,4.5,32638.0,,,,0.9,7000.0,110.08,$117.99,Primary,
15,"BLACK+DECKER Digital Microwave Oven with Turntable Push-Button Door, Child Safety Lock, Stainless Steel, 0.9 Cu Ft",B07HG9YGZY,False,4.4,11371.0,,,,0.9,3000.0,99.99,$106.99,Primary,
16,"BLACK+DECKER Countertop Microwave Oven 0.9 Cu Ft, 6 Auto Menus, Child Lock, Memory Function, 10 Power Levels, Easy One-Touch Start, Digital Panel, 900W",B0DHWWQ77M,False,4.4,224.0,True,,,0.9,1000.0,119.99,,,
17,"Farberware Countertop Microwave 700 Watts, 0.7 Cu. Ft. - Microwave Oven With LED Lighting and Child Lock - Perfect for Apartments and Dorms - Easy Clean Grey Interior, Retro Black",B01EIZSDWO,False,4.3,7670.0,,,,0.7,2000.0,79.99,$84.99,Primary,
18,"Nostalgia NRMO7YW6A Retro Compact Countertop Microwave Oven, 0.7 Cu. Ft. 700-Watts with LED Digital Display, Child Lock, Easy Clean Interior, Yellow",B0CNV1D9L3,False,4.4,12268.0,,,,0.7,300.0,99.99,,,
19,"Galanz GLCMKZ07BER07 Retro Countertop Microwave Oven with Auto Cook & Reheat, Defrost, Quick Start Functions, Easy Clean with Glass Turntable, Pull Handle.7 cu ft, Blue",B09BZ5Z16C,False,4.5,20632.0,,,,7.0,400.0,90.75,$99.00,Primary,
20,"Emerson MW7601SL Compact Countertop Microwave Oven with Sleek Mirrored Finish Door 10 Power Levels, 6 Auto Menus, Glass Turntable and Child Safe Lock, 0.7 Cu. Ft, Silver",B0CV6V1JTW,False,4.1,335.0,,True,,0.7,1000.0,79.73,,,
21,"Sharp R-CD1800M Commercial Microwave, Silver",B0029SXA4E,False,,,True,,,,,1425.0,,,Only 3 left in stock - order soon.
22,"SHARP Countertop Microwave Oven with Removable 10.6"" Carousel Turntable, 900 Watt, 0.9 Cubic Feet, Stainless Steel",B0CNQ9T4XW,False,4.4,164.0,,,,,1000.0,99.99,,,
23,"Nostalgia Retro Microwave Oven 0.7 Cu Ft, 700-Watt Countertop Size with Glass Turntable, Child Safety Lock, 8 Auto-Cook Programs, Digital Clock, Black",B0DV5S55ZS,False,4.4,4798.0,,,,0.7,600.0,79.99,$89.99,Primary,
24,"SHARP Countertop Microwave Oven with Removable 12.4"" Carousel Turntable, 1000 Watt, 1.1 Cubic Feet, Black",B0CNQ9LVDZ,False,4.5,380.0,,,,,1000.0,129.99,,,
25,"TOSHIBA ML-EM45P(BS) Countertop Microwave Oven with Smart Sensor and Position Memory Turntable, Function, 1.6 Cu.ft 13.6"" Removable Black Stainless Steel, 1200W",B081T6GZZF,False,4.3,3486.0,,,,1.6,1000.0,182.99,,,
26,"71"" Pantry Cabinet, Kitchen Pantry Storage Cabinet with Charging Station, Kitchen Hutch with Countertop, Microwave Shelf & 10 Hooks, Door Shelves & Drawer & Adjustable Shelves for Dining Room",B0FG79KS55,False,5.0,2.0,True,,"{'badge_text': 'Save $40.00', 'text': 'with coupon'}",,,249.99,$40.00,,
30,"TOSHIBA ML4-EM22PAIT(SS) Countertop Microwave Oven with Sensor Cook, 6 Auto Menus, Origin Inverter, Child Lock, 2.2 Cu Ft for Large Family, 16.5 Inch Removable Turntable, 1200W, Stainless Steel",B0DNMNDVQ5,True,4.2,4578.0,True,,,2.2,400.0,271.97,,,
5,"Countertop Microwave Ovens 0.7 Cu. Ft. 700 Watts Microwave Oven With LED Lighting,Turntable and Child Lock,Compact Microwave Perfect for Apartments and Dorms,Easy Clean Interior, Black",B0F65296JL,False,5.0,1.0,,,,0.7,50.0,44.99,,,
8,"TOSHIBA ML-EM09PA(SS) Small Microwave Oven with 6 Auto Menus, Mute Function & Child Lock, LED Lighting, Perfect for Apartments & Dorms, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W, Stainless Steel",B0DPQQM1SF,True,4.5,32638.0,True,,,0.9,2000.0,115.44,,,
9,"Sharp R-21LCFS Medium-Duty Commercial Microwave Oven with Dial Timer, Stainless Steel, 1000-Watts, 120-Volts",B074RCGYLB,True,4.6,563.0,True,,,,300.0,325.0,,,
10,"FRIGIDAIRE EMW733BLACKAMZ 0.7 Cu. Ft. Microwave, Black",B00CE2VIKS,False,4.3,1981.0,,,,0.7,1000.0,69.98,,,Temporarily out of stock.
