itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year_single
v1|388693146122|655796212177,Diogo Jota Liverpool FC #20 Home Red Player Version PL Soccer Jersey,1000,New,73.99,USD,retvibe,93.8,14,BE,,,0.0,1,2887,Soccer-International Clubs,1,Liverpool,,
v1|336051171636|545587179657,Diogo Jota #20 Liverpool FC Home Red Player Version PL Soccer Jersey,1000,New,74.00,USD,wearkits,100.0,82,BE,,,0.0,7,2887,Soccer-International Clubs,2,Liverpool,,
v1|388511742986|655644751940,Neymar Jr Santos 2012 Jersey - Retro Jersey - Mens Sizes,1000,New,65.00,USD,shipezusa,97.1,84,US,,,0.0,121,2887,Soccer-International Clubs,12,,,2012.0
v1|317059278518|615510384436,Real Madrid Baseball Style Jersey Limited Edition,1000,New,52.00,USD,iri4147,97.7,47,US,,,0.0,6,2887,Soccer-International Clubs,27,Real Madrid,,
v1|316969126369|615409659627,Barcelona Messi Mens UCL Final 2011 Jersey,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,,,0.0,102,2887,Soccer-International Clubs,9,Barcelona,,2011.0
v1|177244403948|476898369804,Madrid home jersey player version 2024/25 Size S-XL,1000,New,39.00,USD,soccerelf,100.0,10,US,,,0.0,7,2887,Soccer-International Clubs,9,,,2024.0
v1|177245711199|476899561259,Paris Player Version Jersey 2025/26 Size M-XXL,1000,New,35.00,USD,soccerelf,100.0,10,US,,,0.0,6,2887,Soccer-International Clubs,9,,,2025.0
v1|317065336496|615520543566,Barcelona 2025/2026 Home,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,4,2887,Soccer-International Clubs,27,Barcelona,,2026.0
v1|177243786136|0,Pumas Soccer Jersey Size S-XL,1000,New,19.00,USD,soccerelf,100.0,10,US,,,0.0,7,2887,Soccer-International Clubs,9,,,
v1|388563233919|655674947539,Soccer Jersey 2007/2008 #7 Retro Champions League Final Away Jersey Short Sleeve,1000,New,49.99,USD,jerseyhypex,94.5,49,US,,,0.0,98,2887,Soccer-International Clubs,4,,,2008.0
v1|406039415533|676351895086,Mexico 2025/26 Black Special Souvenir  Jersey PLAYER VERSION,1000,New,40.99,USD,realgood-31,96.4,51,US,,,0.0,90,2887,Soccer-International Clubs,4,,Mexico,2025.0
v1|177245638563|476899094412,Tigres UANL Away Jersey 2023/24 Size S-XL,1000,New,18.00,USD,soccerelf,100.0,10,US,,,0.0,6,2887,Soccer-International Clubs,9,,,2023.0
v1|226859637206|526010179753,Club America 2025/26 Home Soccer Jersey,1000,New with tags,43.99,USD,ancue-79,100.0,245,US,,,0.0,1,123490,Men,5,Club America,,2025.0
v1|317047672657|615492735967,Chelsea Jersey 2025/26 (World Cup),1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,10,2887,Soccer-International Clubs,27,,,2025.0
v1|317069403907|615526711901,Liverpool Home Jersey 25/26 ( Player Version),1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,3,2887,Soccer-International Clubs,27,Liverpool,,2026.0
v1|317055694269|615503932223,Pachuca Away Jersey 2025/26 (Player Version),1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,7,2887,Soccer-International Clubs,27,,,2025.0
v1|177241343766|0,Paris player version jersey 2025/26 size M-XXL,1000,New,35.00,USD,soccerelf,100.0,10,US,,,0.0,8,2887,Soccer-International Clubs,9,,,2025.0
v1|396721995055|665214044123,Brazil Jesus Christ The Redeemer Jersey Kit Special Edition Shirt,1000,New,31.99,USD,lonsie_16,94.4,80,US,,,4.99,33,2891,Soccer-National Teams,6,,Brazil,
v1|317004328467|615433933254,Cristiano Ronaldo #7 2008 UCL Final Manchester United Nike Long Sleeve Jersey,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,,,0.0,105,2887,Soccer-International Clubs,9,Manchester United,,2008.0
v1|317069763082|615526873738,Chelsea Away Jersey 2025/26 (World Cup) Player Version,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,2,2887,Soccer-International Clubs,27,,,2025.0
v1|187390377113|695281635913,Real Madrid 2025/2026 Home Players Match Version Jerseys CLUB WORLD CUP,3000,Used,59.90,USD,evaclothing,100.0,17,US,,,0.0,7,2887,Soccer-International Clubs,6,Real Madrid,,2026.0
v1|357149365402|625968041115, 25-26 Club America Soccer Jersey ,1000,New,49.99,USD,jeserymagasin,100.0,26,US,,,0.0,21,2887,Soccer-International Clubs,6,Club America,,2026.0
v1|177244292867|476898103132,2024/25 Paris home jersey Size M-XXL,1000,New,35.00,USD,soccerelf,100.0,10,US,,,0.0,7,2887,Soccer-International Clubs,9,,,2024.0
v1|357225521605|625969572698,Diogo Jota Liverpool Home Jersey #20,1000,New,50.00,USD,nilemarketplace,100.0,226,US,,,,8,2887,Soccer-International Clubs,6,Liverpool,,
v1|317018017654|615448752126,Ronaldo Manchester United 2007/2008 | Men’s Retro Long-Sleeve Jersey,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,,,0.0,111,2887,Soccer-International Clubs,9,Manchester United,,2008.0
v1|316583039943|615116337511,Mexico 25/26 Black Special Souvenir  Jersey FAN VERSION  EMBROIDERED LOGO ALL SZ,1000,New,49.99,USD,aiiden07-25,98.4,195,US,,,0.0,102,2891,Soccer-National Teams,10,,Mexico,2026.0
v1|317017436713|615449050492,2015/16 Real Madrid Home Jersey #7 Ronaldo Adidas Soccer Champions CR7,1000,New,49.99,USD,sharpshop0.1,95.6,166,US,,,0.0,21,2887,Soccer-International Clubs,9,Real Madrid,,2015.0
v1|205587201565|0,Real Madrid 2025/2026 Home Player Version Jersey • Mbappé Size L,1000,New,55.00,USD,steph01291978,100.0,484,US,,,,19,2887,Soccer-International Clubs,9,Real Madrid,,2026.0
v1|317067007462|615522792223,Liverpool Away Jersey 25/26 ( Player Version),1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,3,2887,Soccer-International Clubs,27,Liverpool,,2026.0
v1|388689323053|655791717346,Diogo Jota #20 Liverpool FC 2024-2025 Home Red Soccer Jersey Short Sleeve,1000,New,73.93,USD,otri_shop,100.0,31,FR,,,0.0,2,2887,Soccer-International Clubs,2,Liverpool,,2025.0
v1|146694387750|445342503234,Mexico Black 2025/2026 Special Souvenir Player Version Jersey,1000,New,47.99,USD,xunbo12,83.3,8,TW,59.99,20,0.0,5,2891,Soccer-National Teams,10,,Mexico,2026.0
v1|316710481226|615211237508,Manchester United 2008 UCL Final Long sleeve Home Jersey - Cristiano Ronaldo #7,1000,New,73.90,USD,bollerjerseys,97.6,39,BE,,,0.0,78,2887,Soccer-International Clubs,9,Manchester United,,2008.0
v1|317035759644|615475394006,Boca Juniors Home Jersey 25/26 ALL SIZES SMALL-2XL REG FIT,1000,New,49.99,USD,aiiden07-25,98.4,195,US,,,0.0,14,2887,Soccer-International Clubs,10,,,2026.0
v1|306392847670|0,PUMA Serbia National Team 2024/2025 Drycell Authentic Home Jersey Size Small,1000,New,50.00,USD,mibavi-95,0.0,0,US,,,,0,2891,Soccer-National Teams,1,,,2025.0
v1|376387728038|645025468187,Mexico 2025/26 Black Shirt Special Souvenir S.Gimenez #11 E.Alvarez #4 Jersey,1000,New,49.99,USD,cejg-39,0.0,0,US,,,0.0,5,2891,Soccer-National Teams,5,,Mexico,2025.0
v1|205556489832|0,Juventus 2014/2015 Vintage Jersey Pogba Size L,1000,New,55.00,USD,steph01291978,100.0,484,US,,,,29,2887,Soccer-International Clubs,9,Juventus,,2015.0
v1|177017766333|476729527183,"Japan Soccer Jersey Special Waves Ukiyo-e Concept Edition S,M,L,XL,XXL",1000,New,49.99,USD,moh_k40,100.0,821,US,,,0.0,86,2891,Soccer-National Teams,21,,,
v1|176958408639|476801160262,"Japan Soccer Jersey One Piece Luffy Anime Gear 5 Concept Edition S,M,L,XL,XXL",1000,New,49.99,USD,moh_k40,100.0,821,US,,,0.0,106,2891,Soccer-National Teams,21,,,
v1|317055824889|615504112636,Benfica Home 2025/26 Jersey Especial,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,7,2887,Soccer-International Clubs,27,,,2025.0
v1|405807967878|676115414250,Ronaldo #9 – Inter Milan 1998–99 Home Jersey – Iconic Serie A Kit,1000,New,70.99,USD,grk_04,97.7,127,DE,,,0.0,78,2887,Soccer-International Clubs,10,Inter Milan,,
v1|155663359751|455978011068,"MEXICO JERSEY QATAR VERSION JUGADOR  ""SLIM FIT""",1000,New,29.99,USD,jeansandshirtsforever,95.8,1092,US,,,6.99,730,2891,Soccer-National Teams,14,,Mexico,
v1|357258797930|625983138951,Paris Saint Germain Fourth Long Sleeve Men Jersey 24/25,1000,New,49.99,USD,notane44,100.0,13,US,,,0.0,2,2887,Soccer-International Clubs,3,Paris Saint Germain,,2025.0
v1|177017765474|476729511201,"Japan Soccer Jersey Special Concept Tokyo Edition S,M,L,XL,XXL",1000,New,49.99,USD,moh_k40,100.0,821,US,,,0.0,86,2891,Soccer-National Teams,21,,,
v1|388512480990|655645168468,Ronaldinho Brazil 2004–06 Home Jersey,1000,New,65.00,USD,shipezusa,97.1,84,US,,,0.0,38,2891,Soccer-National Teams,12,,Brazil,2004.0
v1|177241342049|0,Paris player version jersey2024/25 size L,1000,New,35.00,USD,soccerelf,100.0,10,US,,,0.0,8,2887,Soccer-International Clubs,9,,,
v1|376384402057|645023231486,Fluminense 2025/2026 Shirt Home and Away Short / Long Sleeve T.SILVA #3 Jersey,1000,New,45.99,USD,cejg-39,0.0,0,US,,,0.0,7,2887,Soccer-International Clubs,5,,,2026.0
v1|376382903637|645022324197,2024/2025 Home and Away Jersey DIOGO JOTA #20 and DIOGO JOTA #21 Shirt,1000,New,49.99,USD,cejg-39,0.0,0,US,,,0.0,8,2887,Soccer-International Clubs,5,,,2025.0
v1|396776759352|665248612210,USA 2025/2026 Shirt Home / Away Third Jersey,1000,New,39.99,USD,lonsie_16,94.4,80,US,,,2.99,19,2887,Soccer-International Clubs,6,,USA,2026.0
v1|316855425270|615346939273,FC Barcelona 2011/2012 UEFA Champions League Away Black Jersey - Messi #10,1000,New,73.90,USD,bollerjerseys,97.6,39,BE,,,0.0,49,2887,Soccer-International Clubs,9,Barcelona,,2012.0
v1|177244396823|476898492074,Barcelona home jersey player version 2024/25 Size S-XL,1000,New,39.00,USD,soccerelf,100.0,10,US,,,0.0,7,2887,Soccer-International Clubs,9,Barcelona,,2024.0
v1|375817561504|644687750846,Arsenal 2005 2006 Thierry Henry #14 Short Sleeve Soccer Jersey Retro,1000,New,59.99,USD,jerseyking9320,90.0,61,US,,,9.99,228,2887,Soccer-International Clubs,3,Arsenal,,2005.0
v1|388116492756|655317534607,Umbro Guatemala Away Men's Soccer Jersey 25/26,1000,New,95.00,USD,soccer_shop_usa_warehouse,98.8,1226,US,,,,114,2891,Soccer-National Teams,11,,,2026.0
v1|317036462679|615476151681,Real Madrid Home 2025/26 Players Version,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,14,2887,Soccer-International Clubs,27,Real Madrid,,2025.0
v1|146577935886|445294644991,2025-26 Mexico home Player Version Jersey,1000,New,39.99,USD,xunbo12,83.3,8,TW,49.99,20,0.0,61,2891,Soccer-National Teams,10,,Mexico,2025.0
v1|357199509189|625956817961,Lionel Messi Barcelona Away Retro Jersey 2011/12 BLACK🖤❤️💙,1000,New,59.99,USD,notane44,100.0,13,US,,,0.0,12,2887,Soccer-International Clubs,3,Barcelona,,2011.0
v1|357226488286|625970362701,Diogo Jota 2024/25 Liverpool Home Soccer Jersey,1000,New,50.00,USD,nilemarketplace,100.0,226,US,,,,7,2887,Soccer-International Clubs,6,Liverpool,,2024.0
v1|376259847612|644956988435,Men's Puma Blue Manchester City 2024/25 Fourth Replica Jersey,1000,New,39.99,USD,fanatics,98.2,645439,US,94.99,58,5.99,54,2887,Soccer-International Clubs,2,Manchester City,,2024.0
v1|285006402319|586826900235,Corinthians 22/23 men's Third  Jersey,1000,New,30.99,USD,jusus.uhwoyehz2,96.3,1561,CA,,,7.0,997,2887,Soccer-International Clubs,5,,,2023.0
v1|297461623177|594909638582,Real Madrid - 25/26 Home jersey - fans version - adult men size,1000,New,39.90,USD,smartjerseys,0.0,0,US,,,,1,2887,Soccer-International Clubs,1,Real Madrid,,2026.0
v1|205573027020|0,PSG Fourth Jersey 2024/25 O.Demble Size M,1000,New,50.00,USD,steph01291978,100.0,484,US,,,,22,2887,Soccer-International Clubs,9,,,2024.0
